lecture_id,article_id,rate,mention_assignment,mention_teamwork,mention_grading,mention_attendance,mention_exam,mention_teaching,calibrated_assignment_low_score,calibrated_assignment_high_score,calibrated_teamwork_low_score,calibrated_teamwork_high_score,calibrated_grading_generous_score,calibrated_grading_strict_score,calibrated_attendance_light_score,calibrated_attendance_strict_score,calibrated_exam_light_score,calibrated_exam_heavy_score,calibrated_text_assignment_tfidf,calibrated_text_teamwork_tfidf,calibrated_text_grading_tfidf,calibrated_text_attendance_tfidf,calibrated_text_exam_tfidf,calibrated_text_teaching_tfidf
103298,2131858,3.0,1,0,0,0,1,1,0.933333,0.066667,0,0,0,0,0,0,0.405833,0.393333,0.117454,0,0,0,0.084998,0.12007
103298,2120854,4.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,2099000,4.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,2089396,1.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,2088582,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0
103298,2088013,1.0,0,0,1,0,0,0,0,0,0,0,0.583333,0.416667,0,0,0,0,0,0,0.16644,0,0,0
103298,2087851,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0
103298,2085988,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0.12007
103298,1981794,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0.12007
103298,1296663,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0.12007
103298,1290461,5.0,1,0,1,1,1,1,0.933333,0.066667,0,0,0.583333,0.416667,0.324999,0.375001,0.405833,0.393333,0.117454,0,0.16644,0.068862,0.084998,0.12007
103298,1275913,5.0,1,1,1,1,1,1,0.933333,0.066667,0.958334,0.041667,0.583333,0.416667,0.324999,0.375001,0.405833,0.393333,0.117454,0.03539,0.16644,0.068862,0.084998,0.12007
103298,1268971,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.405833,0.393333,0,0,0,0,0.084998,0.12007
103298,1251259,4.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,648511,5.0,1,0,1,0,1,1,0.933333,0.066667,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0.117454,0,0.16644,0,0.084998,0.12007
103298,647671,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12007
103298,521719,5.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,516034,5.0,0,0,1,0,1,1,0,0,0,0,0.583333,0.416667,0,0,0.405833,0.393333,0,0,0.16644,0,0.084998,0.12007
103298,62361,3.0,0,1,0,0,1,1,0,0,0.958334,0.041667,0,0,0,0,0.405833,0.393333,0,0.03539,0,0,0.084998,0.12007
103298,60597,4.0,0,1,0,0,1,1,0,0,0.958334,0.041667,0,0,0,0,0.405833,0.393333,0,0.03539,0,0,0.084998,0.12007
103300,7063141,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026038
103300,7060968,1.0,1,0,0,1,1,1,0.725275,0.274725,0,0,0,0,0.390109,0.37912,0.463187,0.356044,0.192938,0,0,0.210809,0.220166,0.026038
103300,7050097,3.0,0,0,1,0,0,0,0,0,0,0,0.351648,0.648351,0,0,0,0,0,0,0.223946,0,0,0
103300,7022541,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,6992909,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,6989346,4.0,0,0,1,1,1,0,0,0,0,0,0.351648,0.648351,0.390109,0.37912,0.463187,0.356044,0,0,0.223946,0.210809,0.220166,0
103300,6907846,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,4804948,3.0,0,0,1,0,0,0,0,0,0,0,0.351648,0.648351,0,0,0,0,0,0,0.223946,0,0,0
103300,4752342,3.0,0,0,1,0,1,1,0,0,0,0,0.351648,0.648351,0,0,0.463187,0.356044,0,0,0.223946,0,0.220166,0.026038
103300,4749663,2.0,1,0,1,0,0,0,0.725275,0.274725,0,0,0.351648,0.648351,0,0,0,0,0.192938,0,0.223946,0,0,0
103300,4727234,5.0,1,0,0,0,1,1,0.725275,0.274725,0,0,0,0,0,0,0.463187,0.356044,0.192938,0,0,0,0.220166,0.026038
103300,4629085,4.0,1,0,0,0,1,1,0.725275,0.274725,0,0,0,0,0,0,0.463187,0.356044,0.192938,0,0,0,0.220166,0.026038
